Date,T(C),Td(C),Tmax(C),Tmin(C),ddd,ffkmh,P seahPa,PTnd,Prec(mm),Nh,Nt,HKm,Viskm,W1,W2,WW,P0hPa
1/1/2017 0:00,25.1,23.1,-----,24.2,N,10.8,1013.9,2.1,1.8/24h,4,7,0.6,12,,,,
1/1/2017 3:00,28.7,22,-----,-----,E,10.8,1011.8,-0.4,0.0/3h,3,6,0.6,12,,,,
1/1/2017 6:00,29.8,20.2,-----,-----,NE,14.4,1010.7,-2.8,0.0/6h,2,7,0.6,12,,,,
1/1/2017 9:00,28.1,21.6,-----,-----,NNE,14.4,1011.1,0.4,0.0/3h,4,7,0.6,12,,,,
1/1/2017 12:00,27,20.9,31.2,-----,NNE,3.6,1012.9,-1.8,0.0/6h,2,2,0.6,12,,,,
1/1/2017 15:00,25.5,20.9,-----,-----,N,3.6,1013.7,0.8,0.0/3h,2,3,0.6,12,,,,
1/1/2017 18:00,25,20.5,-----,-----,CAL,0,1012.1,-1.6,0.0/6h,2,3,0.6,12,,,,
1/1/2017 21:00,24.6,21,-----,-----,E,10.8,1011.7,-0.4,0.0/3h,2,2,0.6,12,,,,
1/2/2017 0:00,26.7,19.4,-----,23.8,NE,7.2,1012.7,1,0.0/24h,2,6,0.6,12,,,,
1/2/2017 3:00,29.5,21.3,-----,-----,N,14.4,1011.8,-0.9,0.0/3h,2,7,0.6,12,,,,
1/2/2017 6:00,30.4,21.2,-----,-----,ENE,21.6,1009.7,-2.1,0.0/6h,3,7,0.6,12,,,,
1/2/2017 9:00,29.1,21.2,-----,-----,NE,14.4,1009.7,0,0.0/3h,3,6,0.6,12,,,,
1/2/2017 12:00,27.9,21.6,31.5,-----,ENE,10.8,1011.7,2,0.0/6h,2,4,0.6,12,,,,
1/2/2017 15:00,27.2,22.2,-----,-----,CAL,0,1011.7,0,0.0/3h,3,3,0.6,10,,,,
1/2/2017 18:00,26.8,22.6,-----,-----,N,3.6,1010.9,-0.8,0.0/6h,3,3,0.6,10,,,,
1/2/2017 21:00,26.2,22.9,-----,-----,NE,7.2,1010.7,-0.2,0.0/3h,3,7,0.6,10,,,,
1/3/2017 0:00,26.8,22.7,-----,24.8,E,7.2,1012.7,2,0.0/24h,2,6,0.6,12,,,,
1/3/2017 3:00,30.4,19.9,-----,-----,NE,10.8,1012,-0.7,0.0/3h,2,6,0.6,12,,,,
1/3/2017 6:00,31.3,20.5,-----,-----,NE,10.8,1009.9,-2.1,0.0/6h,3,6,0.6,12,,,,
1/3/2017 9:00,30,20.1,-----,-----,NNE,10.8,1010.2,-0.3,0.0/3h,2,5,0.6,12,,,,
1/3/2017 12:00,27.8,20.8,32.7,-----,NNE,10.8,1011.8,1.6,0.0/6h,2,2,0.6,12,,,,
